Custom SKU,Description,Brand,Manufacturer SKU,UPC,MSRP,Cost
153001-01,TONGUE EXTENSION KIT   8008109,YAKIMA,8008109,736745081096,349.99,220
153001-02,HEAVY DUTY SHOCKS      8008110,YAKIMA,8008110,736745081102,249.99,150
153001-04,SAFETY POLE & CLIP     8008114,YAKIMA,8008114,736745081140,59.99,35
153001-05,KICKSTAND              8008115,YAKIMA,8008115,736745081157,109.99,70
153001-06,5 SPOKE SPARE          8008121,YAKIMA,8008121,736745081218,364.99,230
153001-09,TIRE - RACK AND ROLL   8880282,YAKIMA,8880282,736745802820,103.99,52
153001-10,TIRE TUBE - RACK&ROLL  8880283,YAKIMA,8880283,736745802837,19.99,10
153002-02,EASYRIDER HIGH - 8008129,YAKIMA,8008129,736745081594,4649.99,3100
153002-10,E-RIDER SPARE TIRE KIT 8008125,YAKIMA,8008125,58817281822,349.99,230
153010-01,STRAP CAPS             8005015,YAKIMA,8005015,736745050153,34.99,15
153100-01,BOAT LOCKER            8008237,YAKIMA,8007237,736745072377,74.99,30
153101-01,WIDE BODY              8008001,YAKIMA,8008001,736745080013,154.99,95
153101-02,SIDE LOADER (PAIR)     8008002,YAKIMA,8008002,736745080020,189.99,120
153102-01,BOLT TOPLOADER         8008005,YAKIMA,8008005,736745080051,154.99,95
153103-01,EVENKEEL               8004052,YAKIMA,8004052,736745040529,249.99,150
153109-03,"RDBAR X-BAR PAD30""(PR) 8007415",YAKIMA,8007415,736745074159,69.99,45
153111-02,BOATLOADER EVO - 8004085,YAKIMA,8004085,736745040857,189.99,120
153114-01,BOW/STERN TIEDOWN PR   8004031,YAKIMA,8004031,736745040314,64.99,40
153116-02,HANDROLL (PR)          8004082,YAKIMA,8004082,736745040826,179.99,120
153118-02,DECKHAND (PR)          8004083,YAKIMA,8004083,736745040833,179.99,120
153120-10,JAYHOOK                8004084,YAKIMA,8004084,736745040840,219.99,140
153121-02,SHOWBOAT 66            8004068,YAKIMA,8004068,736745040680,249.99,150
153122-01,BIGSTACK W/ TIE DOWN   8004041,YAKIMA,8004041,736745040413,299.99,185
153123-01,BOWDOWN W/ TIE DOWN    8004042,YAKIMA,8004042,736745040420,369.99,230
153126-01,LOADSTOP               8005000,YAKIMA,8005000,736745050009,124.99,80
153127-01,HEAVY DUTY STRAPS      8005006,YAKIMA,8005006,736745050061,44.99,27
153127-02,SOFT STRAP 8' (PR) 8007420,YAKIMA,8007420,736745074203,59.99,35
153127-03,SOFT STRAP 16' (PR) 8007419,YAKIMA,8007419,736745074197,69.99,40
153128-02,KEELOVER               8004069,YAKIMA,8004069,736745040697,229.99,140
153129-01,RIPCORD                8004048,YAKIMA,8004048,736745040482,149.99,90
153133-03,"AERO X-BAR PADS20""(PR) 8007412",YAKIMA,8007412,736745074128,54.99,35
153133-04,"AERO X-BAR PADS30""(PR) 8007413",YAKIMA,8007413,736745074135,69.99,45
153135-01,YAKIMA JAYLOW J-CRADLE 8004073,YAKIMA,8004073,736745040734,289.99,190
153136-01,YAKIMA SWEETROLL       8004074,YAKIMA,8004074,736745040741,324.99,210
153138-01,YAKIMA SUPDAWG         8004075,YAKIMA,8004075,736745040758,399.99,250
153139-01,SHOWDOWN 8004081,YAKIMA,8004081,736745040819,749.99,470
153140-01,EASYTOP (PR) 8007418,YAKIMA,8007418,736745074180,164.99,100
153141-01,BIGCATCH               8004091,YAKIMA,8004091,736745040918,349.99,220
153141-02,SMRT-SLOT 4-BIGCATCH   8004092,YAKIMA,8004092,736745040925,64.99,40
153141-03,ROUNDBAR KIT-BIGCATCH  8004093,YAKIMA,8004093,736745040932,39.99,25
153200-06,FATCAT 4+ BLK 8003095,YAKIMA,8003095,736745030957,369.99,240
153200-07,FATCAT 6+ BLK 8003096,YAKIMA,8003096,736745030964,439.99,285
153200-09,SMART-SLOT KIT II 8003098,YAKIMA,8003098,736745030988,39.99,25
153203-02,FRESHTRACK 4 8003092,YAKIMA,8003092,736745030926,259.99,170
153203-03,FRESHTRACK 6 8003093,YAKIMA,8003093,736745030933,324.99,210
153300-02,FORKCHOP               8002117,YAKIMA,8002117,736745021177,189.99,115
153301-01,FRONTLOADER            8002103,YAKIMA,8002103,736745021030,299.99,190
153305-01,SIDEWINDER TANDEM      8002071,YAKIMA,8002071,736745020712,799.99,500
153306-02,UNIV QR LKNG SKEWER    8002118,YAKIMA,8002118,736745021184,64.99,40
153306-03,FATBIKE QR LCKNG SKEWER8002120,YAKIMA,8002120,736745021207,64.99,40
153307-01,RATTLER STRAP          8002082,YAKIMA,8002082,736745020828,44.99,30
153310-03,HIGHSPEED              8002115,YAKIMA,8002115,736745021153,349.99,210
153311-03,HIGHROAD               8002114,YAKIMA,8002114,736745021146,374.99,230
153311-04,SMAR-T-SLOT KIT 1      8002122,YAKIMA,8002122,736745021221,39.99,25
153311-50,HI-RD/SPD RR WHL TRAY  8880694,YAKIMA,8880694,58817272509,19.99,10
153311-51,HIGHRD/SPD CLMP STRP - 8880698,YAKIMA,8880698,736745806989,16.99,8.5
153311-52,HIGHRD/SPD RR MTN CLMP 8880695,YAKIMA,8880695,736745806958,39.99,20
153311-53,BAND CLAMP PAD (3) 8880696,YAKIMA,8880696,736745806965,9.99,5
153311-98,"RPL,ADJ BLOCK&BLT K328-8880899",YAKIMA,8880899,736745808990,13.99,7
153312-01,RAPTOR AERO            8002093,YAKIMA,8002093,736745020934,249.99,155
153313-05,FORK ADAPTER 15x100MM  8002099,YAKIMA,8002099,736745020996,109.99,65
153313-06,FORK ADAPTOR 15X110MM  8002113,YAKIMA,8002113,736745021139,109.99,65
153313-07,FORK ADAPTOR 12X100MM  8002116,YAKIMA,8002116,736745021160,109.99,65
153314-01,YAKIMA FORK LIFT       8002098,YAKIMA,8002098,736745020989,289.99,175
153316-03,SKYRISE MED POLER CAMO 8007432,YAKIMA,8007432,58817287046,2199.99,1500
153316-05,SKYRISE ANNEX MD - 8007422,YAKIMA,8007422,736745074227,499.99,310
153316-10,SLIMSHADY              8007409,YAKIMA,8007409,736745074098,549.99,380
153316-12,SIDEKICK - 8007423,YAKIMA,8007423,736745074234,79.99,50
153316-13,SKYLOFT - 8007424,YAKIMA,8007424,736745074241,64.99,40
153316-14,SKYHOOK - 8007425,YAKIMA,8007425,736745074258,39.99,25
153316-15,SUNBELT KIT - 8007426,YAKIMA,8007426,736745074265,84.99,55
153316-19,TOUGHCOVER MD - 8880901,YAKIMA,8880901,736745809010,234.99,119
153316-21,"LADDER, 2.6M 8880775",YAKIMA,8880775,736745807757,399.99,212
153316-30,"RPL,HDW BAG,TENT #1 8880733",YAKIMA,8880733,736745807337,59.99,30
153316-36,"TENTCOVER,M 8880783",YAKIMA,8880783,736745807832,249.99,125
153316-37,"TENTCOVER,S 8880791",YAKIMA,8880791,736745807917,229.99,117
153316-39,"TENTHOOPS,M,SET 8880786",YAKIMA,8880786,736745807863,109.99,56
153316-45,"RPL,CLMP ASSY,AWNING 8880737",YAKIMA,8880737,736745807375,55.99,28
153316-49,SPEEDKNOB EVO/SS - 8880904,YAKIMA,8880904,736745809041,39.99,20
153316-52,SLIM SHADY ARM 8880906,YAKIMA,8880906,736745809065,69.99,35
153316-53,SLIM SHADY LEG 8880907,YAKIMA,8880907,736745809072,69.99,35
153316-59,FLUSHBAR CNVRSN KIT - 8880851,YAKIMA,8880851,736745808518,39.99,20
153316-62,HANGOVER HITCH BOLT 8880953,YAKIMA,8880953,736745809539,34.99,17.5
153316-63,HANGOVER TONGUE INSERT 8880962,YAKIMA,8880962,736745809621,19.99,10
153316-64,HANGOUT SIDE STRAP 8880730,YAKIMA,8880730,736745807306,19.99,10
153316-65,HANGOUT LOWER STRAP 8880731,YAKIMA,8880731,736745807313,19.99,10
153317-01,LONGHAUL               8002476,YAKIMA,8002476,736745024765,469.99,300
153317-02,ROADTRIP               8002477,YAKIMA,8002477,736745024772,349.99,220
153318-01,SKYRISE HD -SM TAN/RED 8007436,YAKIMA,8007436,736745074364,2949.99,1925
153318-02,SKYRISE HD -MD TAN/RED 8007437,YAKIMA,8007437,736745074371,3399.99,2225
153319-01,SKYRISE -MD GREEN      8007434,YAKIMA,8007434,736745074340,2399.99,1550
153400-02,"TIMBERLINE KIT SM (50"")8000153",YAKIMA,8000153,736745001537,479.99,300
153400-03,"TIMBERLINE KIT MED(60"")8000154",YAKIMA,8000154,736745001544,479.99,300
153402-02,RAILGRAB MEDIUM CLAW 8880205 ~,YAKIMA,8880205,736745802059,15.99,9.5
153403-01,"48"" ROUNDBARS (PAIR)   8000408",YAKIMA,8000408,736745004088,149.99,90
153403-02,"58"" ROUNDBARS (PAIR)   8000409",YAKIMA,8000409,736745004095,149.99,90
153403-03,"66"" ROUNDBARS (PAIR)   8000410",YAKIMA,8000410,736745004101,149.99,90
153403-04,"78"" ROUNDBARS (PAIR)   8000411",YAKIMA,8000411,736745004118,149.99,90
153403-05,"86"" ROUNDBARS (PAIR)   8000420",YAKIMA,8000420,736745004200,194.99,120
153404-01,1A RAINGUTTER TOWERS(4)8000101,YAKIMA,8000101,736745001018,279.99,170
153406-01,Q TOWERS (4)           8000124,YAKIMA,8000124,736745001247,279.99,170
153408-01,Q TOWERS PAIR                ~,YAKIMA,8000135,736745001353,164.99,100
153411-01,1A HI RISE SPACERS     8001101,YAKIMA,8001101,736745011017,99.99,60
153416-02,"TRACKS 54"" W/PLUSNUTS",YAKIMA,8001127,736745011277,264.99,160
153417-01,"60"" TRACKS W/ CAPNUTS",YAKIMA,8001135,736745011352,259.99,155
153418-01,"54"" TRACKS W/ CAPNUTS",YAKIMA,8001138,736745011383,249.99,150
153422-04,"54"" STRMLN TRACK KIT 8001618",YAKIMA,8001618,736745016180,749.99,470
153424-01,BULK LOCK CORE 4 (12)  8007239,YAKIMA,8007239,736745072391,769.99,500
153427-01,BULK CAPNUT HRDWRE(168)8001619,YAKIMA,8001619,736745016197,169.99,110
153450-01,RIDGELINE (4 PACK)     8000145,YAKIMA,8000145,736745001452,279.99,170
153450-04,RIDGECLIP 4            8006004,YAKIMA,8006004,736745060046,149.99,90
153450-05,RIDGECLIP 5            8006005,YAKIMA,8006005,736745060053,149.99,90
153450-06,RIDGECLIP 6            8006006,YAKIMA,8006006,736745060060,149.99,90
153450-07,RIDGECLIP 7            8006007,YAKIMA,8006007,736745060077,149.99,90
153450-08,RIDGECLIP 8            8006008,YAKIMA,8006008,736745060084,149.99,90
153450-09,RIDGECLIP 9            8006009,YAKIMA,8006009,736745060091,149.99,90
153450-10,RIDGECLIP 10           8006010,YAKIMA,8006010,736745060107,149.99,90
153450-11,RIDGECLIP 11           8006011,YAKIMA,8006011,736745060114,149.99,90
153450-12,RIDGECLIP 12           8006012,YAKIMA,8006012,736745060121,149.99,90
153450-13,RIDGECLIP 13           8006013,YAKIMA,8006013,736745060138,149.99,90
153450-14,RIDGECLIP 14           8006014,YAKIMA,8006014,736745060145,149.99,90
153450-15,RIDGECLIP 15           8006015,YAKIMA,8006015,736745060152,149.99,90
153450-16,RIDGECLIP 16           8006016,YAKIMA,8006016,736745060169,149.99,90
153450-17,RIDGECLIP 17           8006017,YAKIMA,8006017,736745060176,149.99,90
153450-19,RIDGECLIP 19           8006019,YAKIMA,8006019,736745060190,149.99,90
153450-20,RIDGECLIP 20           8006020,YAKIMA,8006020,736745060206,149.99,90
153450-21,RIDGECLIP 21 - 8006021,YAKIMA,8006021,736745060213,149.99,90
153450-22,RIDGECLIP 22 - 8806022,YAKIMA,8006022,736745060220,149.99,90
153450-23,RIDGECLIP 23 - 8006023,YAKIMA,8006023,736745060237,149.99,90
153450-24,RIDGECLIP 24 8006024,YAKIMA,8006024,736745060244,149.99,90
153450-25,RIDGECLIP 25 8006025,YAKIMA,8006025,736745060251,149.99,90
153450-27,"RIDGECLIP - 27, 8006027",YAKIMA,8006027,736745060275,149.99,90
153450-28,"RIDGECLIP - 28, 8006028",YAKIMA,8006028,736745060282,149.99,90
153450-29,"RIDGECLIP - 29, 8006029",YAKIMA,8006029,736745060299,149.99,90
153450-30,RIDGECLIP 30 8006030,YAKIMA,8006030,736745060305,149.99,90
153450-31,RIDGECLIP 31 - 8006031,YAKIMA,8006031,736745060312,149.99,90
153450-32,RIDGECLIP 32 - 8006032,YAKIMA,8006032,736745060329,149.99,90
153450-33,RIDGECLIP 33           8006033,YAKIMA,8006033,736745060336,149.99,90
153450-34,RIDGECLIP 34           8006034,YAKIMA,8006034,736745060343,149.99,90
153450-36,RIDGECLIP 36           8006036,YAKIMA,8006036,736745060367,149.99,90
153450-37,RIDGECLIP 37           8006037,YAKIMA,8006037,736745060374,149.99,90
153450-38,RIDGECLIP 38           8006038,YAKIMA,8006038,736745060381,149.99,90
153451-01,BASELINE (4 PACK)      8000146,YAKIMA,8000146,736745001469,279.99,170
153451-02,BASELINE (2 PACK)      8000150,YAKIMA,8000150,736745001506,159.99,100
153451-102,BASECLIP 102           8006102,YAKIMA,8006102,736745061029,74.99,45
153451-105,BASECLIP 105           8006105,YAKIMA,8006105,736745061050,74.99,45
153451-109,BASECLIP 109           8006109,YAKIMA,8006109,736745061098,74.99,45
153451-110,BASECLIP 110           8006110,YAKIMA,8006110,736745061104,74.99,45
153451-111,BASECLIP 111           8006111,YAKIMA,8006111,736745061111,74.99,45
153451-112,BASECLIP 112           8006112,YAKIMA,8006112,736745061128,74.99,45
153451-116,BASECLIP 116           8006116,YAKIMA,8006116,736745061166,74.99,45
153451-117,BASECLIP 117           8006117,YAKIMA,8006117,736745061173,74.99,45
153451-118,BASECLIP 118           8006118,YAKIMA,8006118,736745061180,74.99,45
153451-119,BASECLIP 119           8006119,YAKIMA,8006119,736745061197,74.99,45
153451-120,BASECLIP 120           8006120,YAKIMA,8006120,736745061203,74.99,45
153451-121,BASECLIP 121           8006121,YAKIMA,8006121,736745061210,74.99,45
153451-122,BASECLIP 122           8006122,YAKIMA,8006122,736745061227,74.99,45
153451-123,BASECLIP 123           8006123,YAKIMA,8006123,736745061234,74.99,45
153451-124,BASECLIP 124           8006124,YAKIMA,8006124,736745061241,74.99,45
153451-125,BASECLIP 125           8006125,YAKIMA,8006125,736745061258,74.99,45
153451-126,BASECLIP 126           8006126,YAKIMA,8006126,736745061265,74.99,45
153451-127,BASECLIP 127           8006127,YAKIMA,8006127,736745061272,74.99,45
153451-128,BASECLIP 128           8006128,YAKIMA,8006128,736745061289,74.99,45
153451-129,BASECLIP 129           8006129,YAKIMA,8006129,736745061296,74.99,45
153451-130,BASECLIP 130           8006130,YAKIMA,8006130,736745061302,74.99,45
153451-131,BASECLIP 131           8006131,YAKIMA,8006131,736745061319,74.99,45
153451-132,BASECLIP 132           8006132,YAKIMA,8006132,736745061326,74.99,45
153451-133,BASECLIP 133           8006133,YAKIMA,8006133,736745061333,74.99,45
153451-134,BASECLIP 134           8006134,YAKIMA,8006134,736745061340,74.99,45
153451-135,BASECLIP 135           8006135,YAKIMA,8006135,736745061357,74.99,45
153451-136,BASECLIP 136           8006136,YAKIMA,8006136,736745061364,74.99,45
153451-137,BASECLIP 137           8006137,YAKIMA,8006137,736745061371,74.99,45
153451-138,BASECLIP 138           8006138,YAKIMA,8006138,736745061388,74.99,45
153451-139,BASECLIP 139           8006139,YAKIMA,8006139,736745061395,74.99,45
153451-142,BASECLIP 142           8006142,YAKIMA,8006142,736745061425,74.99,45
153451-143,BASECLIP 143           8006143,YAKIMA,8006143,736745061432,74.99,45
153451-144,BASECLIP 144           8006144,YAKIMA,8006144,736745061449,74.99,45
153451-145,BASECLIP 145           8006145,YAKIMA,8006145,736745061456,74.99,45
153451-146,BASECLIP 146           8006146,YAKIMA,8006146,736745061463,74.99,45
153451-148,BASECLIP 148           8006148,YAKIMA,8006148,736745061487,74.99,45
153451-150,BASECLIP 150           8006150,YAKIMA,8006150,736745061500,74.99,45
153451-151,BASECLIP 151           8006151,YAKIMA,8006151,736745061517,74.99,45
153451-152,BASECLIP 152           8006152,YAKIMA,8006152,736745061524,74.99,45
153451-153,BASECLIP 153           8006153,YAKIMA,8006153,736745061531,74.99,45
153451-154,BASECLIP 154           8006154,YAKIMA,8006154,736745061548,74.99,45
153451-156,BASECLIP 156           8006156,YAKIMA,8006156,736745061562,74.99,45
153451-158,BASECLIP 158           8006158,YAKIMA,8006158,736745061586,74.99,45
153451-159,BASECLIP 159           8006159,YAKIMA,8006159,736745061593,74.99,45
153451-160,BASECLIP 160           8006160,YAKIMA,8006160,736745061609,74.99,45
153451-161,BASECLIP 161           8006161,YAKIMA,8006161,736745061616,74.99,45
153451-162,BASECLIP 162           8006162,YAKIMA,8006162,736745061623,74.99,45
153451-163,BASECLIP - 163         8006163,YAKIMA,8006163,736745061630,74.99,45
153451-165,BASECLIP - 165         8006165,YAKIMA,8006165,736745061654,74.99,45
153451-166,BASECLIP 166           8006166,YAKIMA,8006166,736745061661,74.99,45
153451-167,BASECLIP 167           8006167,YAKIMA,8006167,736745061678,74.99,45
153451-168,BASECLIP - 168         8006168,YAKIMA,8006168,736745061685,74.99,45
153451-169,BASECLIP 169           8006169,YAKIMA,8006169,736745061692,74.99,45
153451-170,BASECLIP 170           8006170,YAKIMA,8006170,736745061708,74.99,45
153451-171,BASECLIP 171           8006171,YAKIMA,8006171,736745061715,74.99,45
153451-173,BASECLIP 173           8006173,YAKIMA,8006173,736745061739,74.99,45
153451-174,BASECLIP 174           8006174,YAKIMA,8006174,736745071745,74.99,45
153451-175,BASECLIP 175           8006175,YAKIMA,8006175,736745061753,74.99,45
153451-176,BASECLIP 176           8006176,YAKIMA,8006176,736745061760,74.99,45
153451-177,BASECLIP 177           8006177,YAKIMA,8006177,736745061777,74.99,45
153451-178,BASECLIP 178           8006178,YAKIMA,8006178,736745061784,74.99,45
153451-179,BASECLIP 179           8006179,YAKIMA,8006179,736745061791,74.99,45
153451-180,BASECLIP 180           8006180,YAKIMA,8006180,736745061807,74.99,45
153451-181,BASECLIP 181           8006181,YAKIMA,8006181,736745061814,74.99,45
153451-182,BASECLIP 182           8006182,YAKIMA,8006182,736745061821,74.99,45
153451-183,BASECLIP 183           8006183,YAKIMA,8006183,736745061838,74.99,45
153451-184,BASECLIP 184           8006184,YAKIMA,8006184,736745061845,74.99,45
153451-185,BASECLIP 185           8006185,YAKIMA,8006185,736745061852,74.99,45
153451-186,BASECLIP 186           8006186,YAKIMA,8006186,736745061869,74.99,45
153451-187,BASECLIP 187           8006187,YAKIMA,8006187,736745061876,74.99,45
153451-188,BASECLIP 188           8006188,YAKIMA,8006188,736745061883,74.99,45
153451-189,BASECLIP 189           8006189,YAKIMA,8006189,736745061890,74.99,45
153451-190,BASECLIP 190           8006190,YAKIMA,8006190,736745061906,74.99,45
153451-191,BASECLIP 191           8006191,YAKIMA,8006191,736745061913,74.99,45
153451-192,BASECLIP 192           8006192,YAKIMA,8006192,736745061920,74.99,45
153451-193,BASECLIP 193           8006193,YAKIMA,8006194,736745061937,74.99,45
153451-194,BASECLIP 194           8006194,YAKIMA,8006194,736745061944,74.99,45
153451-195,BASECLIP 195           8006195,YAKIMA,8006195,736745061951,74.99,45
153451-196,BASECLIP 196           8006196,YAKIMA,8006196,736745061968,74.99,45
153451-197,BASECLIP 197           8006197,YAKIMA,8006197,736745061975,74.99,45
153452-01,"50"" JETSTREAM - BK (PR)8000425",YAKIMA,8000425,736745004255,299.99,180
153452-02,"60"" JETSTREAM - BK (PR)8000426",YAKIMA,8000426,736745004262,299.99,180
153452-03,"70"" JETSTREAM - BK (PR)8000427",YAKIMA,8000427,736745004279,299.99,180
153452-11,"50"" JETSTREAM - SV (PR)8000428",YAKIMA,8000428,736745004286,299.99,180
153452-12,"60"" JETSTREAM - SV (PR)8000429",YAKIMA,8000429,736745004293,299.99,180
153452-13,"70"" JETSTREAM - SV (PR)8000430",YAKIMA,8000430,736745004309,299.99,180
153453-01,"50"" COREBAR (PAIR)     8000421",YAKIMA,8000421,736745004217,239.99,145
153453-02,"60"" COREBAR (PAIR)     8000422",YAKIMA,8000422,736745004224,239.99,145
153453-03,"70"" COREBAR (PAIR)     8000423",YAKIMA,8000423,736745004231,239.99,145
153453-04,"80"" COREBAR (PAIR)     8000424",YAKIMA,8000424,736745004248,259.99,155
153454-01,STRAMLN RDBAR ADPT(4)  8003536,YAKIMA,8003536,736745035365,49.99,30
153455-01,"WINDSHIELD 34""         8005016",YAKIMA,8005016,736745050160,154.99,100
153455-02,"WINDSHIELD 40""         8005017",YAKIMA,8005017,736745050177,154.99,100
153455-03,"WINDSHIELD 46""         8005018",YAKIMA,8005018,736745050184,154.99,100
153455-04,"WINDSHIELD 52""         8005019",YAKIMA,8005019,736745050191,154.99,100
153455-10,WINDSHIELD CLR PADS (8880590),YAKIMA,8880590,736745805906,15.99,8
153455-11,W-SHLD RTNR STRAPS 4PK 8880587,YAKIMA,8880587,736745805876,9.99,5
153455-12,W-SHLD RETAINER SCREWS 8880588,YAKIMA,8880588,736745805883,3.99,2
153455-13,W-SHLD HARDWARE BAG    8880589,YAKIMA,8880589,736745805890,39.99,20
153455-14,W-SHLD OUTER BRACKET   8880591,YAKIMA,8880591,736745805913,7.99,4
153455-15,W-SHLD CENTER BRACKET  8880592,YAKIMA,8880592,736745805920,7.99,4
153455-16,W-SHLD BRACKET PDS 4PK 8880670,YAKIMA,8880670,736745806705,3.99,2
153455-22,"RPL, BASE, LP16/18     8880584",YAKIMA,8880584,736745805845,22.99,11.5
153455-23,"RPL, HDW BAG, LP19     8880762",YAKIMA,8880762,736745807627,12.99,6.5
153456-01,WHEELHOUSE             8002108,YAKIMA,8002108,736745021085,149.99,90
153456-02,WHEELHOUSE ADAPTER     8002110,YAKIMA,8002110,736745021108,34.99,20
153457-02,LITERIDER 3            8002471,YAKIMA,8002471,736745024710,599.99,370
153458-01,FULLBACK 3             8002633,YAKIMA,8002633,736745026332,329.99,210
153458-02,FULLBACK 2             8002634,YAKIMA,8002634,736745026349,309.99,200
153459-01,HALFBACK 3             8002635,YAKIMA,8002635,736745026356,299.99,195
153459-02,HALFBACK 2             8002636,YAKIMA,8002636,736745026363,279.99,185
153460-01,SPARERIDE              8002599,YAKIMA,8002599,736745025991,349.99,220
153460-02,BACKPLATE - SPARERIDE  8880578,YAKIMA,8880578,736745805784,31.99,16
153461-01,TIMBERLINE (4 PACK)    8000147,YAKIMA,8000147,736745001476,279.99,170
153461-02,TIMBERLINE (2 PACK)    8000151,YAKIMA,8000151,736745001520,159.99,100
153462-01,SKYLINE (4 PACK)       8000148,YAKIMA,8000148,736745001483,279.99,170
153462-02,SKYLINE (2 PACK)       8000152,YAKIMA,8000152,736745001513,159.99,100
153465-01,LCKNLD K 55x49 2BR SYS 8005044,YAKIMA,8005044,736745050443,999.99,700
153465-02,LCKNLD B 60x54 2BR SYS 8005045,YAKIMA,8005045,736745050450,1099.99,770
153465-03,LCKNLD J 76x65 3BR SYS 8005046,YAKIMA,8005046,736745050467,1399.99,980
153465-04,LCKNLD E 84x49 3BR SYS 8005047,YAKIMA,8005047,736745050474,1299.99,910
153465-05,LCKNLD N 84x54 3BR SYS 8005048,YAKIMA,8005048,736745050481,1349.99,945
153465-06,LCKNLD H 84x62 3BR SYS 8005049,YAKIMA,8005049,736745050498,1499.99,1050
153466-01,LCKNLD CRSBR CLMPS 2PK 8005039,YAKIMA,8005039,736745050399,64.99,42
153467-01,LCKNLD SL ADPTR 2PK    8005042,YAKIMA,8005042,736745050429,29.99,19.5
153468-01,LCKNLD RAIL KT K 55x49 8005055,YAKIMA,8005055,736745050559,349.99,227.5
153468-02,LCKNLD RAIL KT B 60x54 8005056,YAKIMA,8005056,736745050566,379.99,247
153468-03,LCKNLD RAIL KT J 76x65 8005057,YAKIMA,8005057,736745050573,439.99,286
153468-04,LCKNLD RAIL KT E 84x49 8005058,YAKIMA,8005058,736745050580,419.99,273
153468-05,LCKNLD RAIL KT N 84x54 8005059,YAKIMA,8005059,736745050597,439.99,286
153468-06,LCKNLD RAIL KT H 84x62 8005060,YAKIMA,8005060,736745050603,449.99,292.5
153469-01,LIGHT-N-UP BRKT        8000336,YAKIMA,8000336,736745003364,99.99,65
153470-01,LCKNLD SPR WHL HLDR    8005032,YAKIMA,8005032,736745050320,149.99,97.5
